hsn_code,description
030830,Jellyfish (Rhopilema spp.)
03083010,"Live, fresh or chilled"
03083020,Dried salted or frozen
03089000,Other
0401.10.00,"Of a fat content, by weight, not exceeding 1%"
0401.20.00,"Of a fat content, by weight, exceeding 1% but not exceeding 6%"
0401.4000,"of a fat content.by weight, exceeding 6% but not exceeding 10%"
0401.50.00,"Of a fat content, by weight,exceedinng 10%"
0402.10.10,Skimmed milk
0402.10.20,Milk food for babies
0402.10.90,Other
0402.21,Not containing added sugar or Other sweetening matter
0402.21.00,Not containing added sugar or other sweetening matter
0402.29,Other
0402.29.10,Whole milk
0402.29.20,Milk for babies
0402.29.90,Other
0402.91,Not containing added sugar or Other sweetening matter
0402.91.10,Condensed milk
0402.91.90,Other
0402.99,Other
0402.99.10,Whole milk
0402.99.20,Condensed milk
0402.99.90,Other
0403.10,Yogurt
0403.10.00,Yogurt
0403.90,Other
0403.90.10,Butter milk
0403.90.90,other
0404.10.10,"Whey, concentrated, evaporated or condensed, liquid or semi-solid"
0404.10.20,"Whey, dry , blocks and powdered"
0404.10.90,Other
0404.90,Other
0404.90.00,Other
0405,Butter and other fats and oils derived from milk; dairy spreads.
0405.10,Butter
0405.10.00,Butter
0405.20,Dairy spreads
0405.20.00,Dairy Spreads
0405.90,Other
0405.90.10,Butter Oil
0405.90.20,Ghee
0405.90.90,Other
0406,Cheese and curd.
0406.10.00,"Fresh cheese, including whey cheese and curd"
0406.20,"Grated or powdered cheese, of all kinds"
0406.20.00,"Grated or powdered cheese, of all kinds"
0406.30,"Processed cheese, Not Grated or powdered"
0406.30.00,Processed cheese not grated or powdered
0406.90,Other cheese
0406.90.00,Other cheese
0407,"Birds' eggs, in shell, fresh, preserved or cooked."
0407.11.00,of fowls of the species Gallus domesticus :
0407.19,Other
04071910,of ducks
04071990,Other
04072100,Of fowls of the species Gallus domesticus :
04072900,Other
04079000,Other
0408.11,dried
0408.11.00,dried
0408.19,Other
0408.19.00,Other
0408.91,dried
0408.91.00,dried
0408.99,Other
0408.99.00,Other
0409,Natural honey.
0409.00.00,Natural Honey
0410.00.10,Of wild animals
0410.00.20,"Turtle eggs and salanganes' nests (""birds' nests"")"
0410.00.90,Other
0501.00.10,"Human hair, unworked, whether or not washed or scoured"
0501.00.20,Waste of human hair
0502.10,"- Pigs', hogs' or boars' bristles and hair and waste thereof"
0502.10.10,"Pigs' , hogs' or boars' bristles and hair"
0502.10.20,"Waste of pigs', hogs' or boars' bristles and hair"
0502.90,Other
0502.90.10,Badger hair and other brush making hair
0502.90.20,Yak tail hair
0502.90.90,Other
0504,"pieces thereof, fresh, chilled, frozen, salted, in brine, dried or"
0504.00,"pieces thereof, fresh, chilled, frozen, salted, in brine, dried or"
0504.00.10,Guts of cattle for natural food casings
0504.00.20,Guts of sheep and goats for natural food casings
0504.00.31,Of wild animals
0504.00.39,Other
0504.00.41,Of wild animals
0504.00.49,Other
0504.00.51,Of wild animals
0504.00.59,Other
0505.10,- Feathers of a kind used for stuffing; down
0505.10.10,Of wild birds
0505.10.90,Other
0505.90,Other
0505.90.10,Peacock tail and wing feather
0505.90.21,Of wild birds
0505.90.29,Other
0505.90.31,Of wild birds
0505.90.39,Other
0505.90.91,Of wild birds
0505.90.99,Other
0506,"cut to shape), treated with acid or degelatinised; powder and waste"
0506.10,Ossein and bones treated with acid
0506.10.11,Of wild animals
0506.10.19,Other
0506.10.21,Of wild animals
0506.10.29,Other
0506.10.31,Of wild animals
0506.10.39,Other
0506.10.41,Of wild animals
0506.10.49,Other
0506.90,Other
0506.90.11,Of wild animals
0506.90.19,Other
0506.90.91,Of wild animals
0506.90.99,Other
0507,"hooves, nails, claws and beaks, unworked or simply prepared but"
0507.10,- Ivory; ivory powder and waste
0507.10.10,Ivory
0507.10.20,Ivory powder and waste
0507.90,Other
0507.90.10,Hoof meal
0507.90.20,Horn meal
0507.90.30,"Hooves, claws, nails and beaks"
0507.90.40,Antlers
0507.90.50,Buffalo horns
0507.90.60,Tortoise shell
0507.90.70,Claws and waste of tortoise shell
0507.90.90,Other
0508.00.10,Coral
0508.00.20,Chanks
0508.00.30,Cowries
0508.00.40,Cuttlefish bones
0508.00.50,Shells
0508.00.90,Other
0510.00.10,"Bezooar, cow (goolochan)"
0510.00.20,Ox Gallstone
0510.00.30,"Placenta, frozen"
0510.00.91,Of wild animals
0510.00.99,Other
0511.10,bovine semen
0511.10.00,Bovine semen
0511.91.10,Fish nails
0511.91.20,Fish tails
0511.91.30,Other fish waste
0511.91.90,Other
0511.99,Other
0511.99.11,Artemia
0511.99.19,Other
0511.99.21,Of wild life
0511.99.29,Other
0511.99.91,"Frozen semen, other than bovine; bovine embryo"
0511.99.92,Of wild life
0511.99.99,Other
0601,"dormant, in growth or in flower; chicory plants and roots other than"
0601.10.00,"Bulbs,tubers,tuberous roots,corms,crowns and rhizomes, dormant"
0601.20.10,"Bulbs, horticultural"
0601.20.21,Plants
0601.20.22,Roots
0601.20.90,Other
0602.10.00,Unrooted cuttings and slips
0602.20.10,"Edible fruit or nut trees,grafted or not"
0602.20.20,Cactus
0602.20.90,Other
0602.30.00,"Rhododendrons and azaleas, grafted or not"
0602.40.00,"Roses, grafted or not"
0602.90,Other
0602.90.10,Mushroom spawn
0602.90.20,Flowering plants
0602.90.30,Tissue cullture plants
0602.90.90,Other
0603,"ornamental purposes, fresh, dried, dyed, bleached, impregnated or"
0603.11.00,Roses
0603.12.00,Carnations
0603.13.00,Orchids
0603.14.00,Chrysanthemums
06031500,Lilies(Lilium spp.)
0603.19.00,Other
0603.90.00,Other
0604.2000,fresh
0604.90.00,Other
0701,"Potatoes, fresh or chilled."
0701.10,Seed
0701.10.00,Seed
0701.90,Other
0701.90.00,Other
0702,"Tomatoes, fresh or chilled."
0702.00,"Tomatoes, fresh or chilled."
0702.00.00,Tomotoes fresh or chilled
0703.10,Onions and shallots
0703.10.10,Onions
0703.10.20,Shallots
0703.20,Garlic
0703.20.00,Garlic
0703.90,Leeks and Other alliaceous vegetables
0703.90.00,Leeks and other alliaceous vegetables
0704.10,Cauliflowers and headed broccoli
0704.10.00,Cauliflowers and headed brococoli
0704.20,Brussels sprouts
0704.20.00,Brussels sprouts
0704.90,Other
0704.90.00,Other
0705.11,Cabbage lettuce (head lettuce)
0705.11.00,Cabbage lettuce
0705.19,Other
0705.19.00,other
0705.21,Witloof chicory (Cichorium intybus var. foliosum)
0705.21.00,witloof chicory
0705.29,Other
0705.29.00,other
0706.10,Carrots and turnips
0706.10.00,carrots and tumips
0706.90,Other
0706.90.10,horse radish
0706.90.20,other radish
0706.90.30,salad beetroot
0706.90.90,other
0707,"Cucumbers and gherkins, fresh or chilled."
0707.00,"Cucumbers and gherkins, fresh or chilled."
0707.00.00,"cucumbers or gherkins, fresh or chilled"
0708,"Leguminous vegetables, shelled or unshelled, fresh or chilled."
0708.10,Peas (Pisum sativum)
0708.10.00,peas
0708.20,"Beans (Vigna spp., Phaseolus spp.)"
0708.20.00,beans
0708.90,Other leguminous vegetables
0708.90.00,other leguminous vegetables
0709,"Other vegetables, fresh or chilled."
0709.20.00,asparagus
0709.3000,- Aubergines (egg-plants)
0709.40.00,celery other than celeraic
0709.51.00,mushrooms of the genus agaricus
0709.59.00,other
0709.60,Fruits of the genus Capsicum or of the genus Pimenta
0709.60.10,green chilli
0709.60.90,other
0709.70.00,"spinach, new zealand spinach and orache spinach"
07099100,Globe artichokes
0709.92.00,olives
0709.9300,"pumpkins squash and gourds (Cucurbita spp,)"
0709.99,Other
0709.99.10,green pepper
0709.99.20,mixed vegetables
0709.99.90,other
0710.10,Potatoes
0710.10.00,potatoes
0710.21,Peas (Pisum sativum)
0710.21.00,peas
0710.22,"Beans (Vigna spp., Phaseolus spp.)"
0710.22.00,beans
0710.29,Other
0710.29.00,other
0710.30,"Spinach, New Zealand Spinach and orache Spinach (garden Spinach)"
0710.30.00,"spinach, new zealand spinach and orache spinach"
0710.40,Sweet corn
0710.40.00,sweet corn
0710.80,Other vegetables
0710.80.10,terragon
0710.80.90,other
0710.90,Mixtures of vegetables
0710.90.00,mixtures of vegetables
0711,"gas, in brine, in sulphur water or in other preservative solutions), but"
0711.20,Olives
0711.20.00,olives
0711.40,Cucumbers and gherkins
0711.40.00,cucumbers and gherkins
0711.51,Mushrooms of the genus Agaricus
0711.51.00,mushrooms of the gensus agaricus
0711.59,Other
0711.59.00,other
0711.90,- Other vegetables; mixtures of vegetables
0711.90.10,green pepper in brine
0711.90.20,assorted canned vegetables
0711.90.90,other
0712.20,Onions
0712.20.00,onions
0712.31,Mushrooms of the genus Agaricus
0712.31.00,mushrooms of the genus agaricus
0712.32,Wood ears (Auricularia spp.)
0712.32.00,Wood ears
0712.33,Jelly fungi (Tremella spp.)
0712.33.00,jelly fungi
0712.39,Other
0712.39.00,Other
0712.90,- Other vegetables; mixtures of vegetables
0712.90.10,Asparagus
0712.90.20,Dehydrated garlic powder
0712.90.30,Dehydrated garlic flakes
0712.90.40,Dried garlic
0712.90.50,"Marjoram, oregano"
0712.90.60,Potatoes
0712.90.90,Other
0713.1000,Peas (Pisum sativum)
0713.2000,Chickpeas (garbanzos)
0713.31,00
0713.3200,Small red (Adzuki) Beans (Phaseolus or Vigna angularis)
0713.3300,"Kidney Beans, including white pea Beans (Phaseolus vulgaris)"
07133400,Bambara beans (Vigna subterranea or Voandzeia subterranea)
07133500,Cow peas (Vigna unguiculata)
0713.39,Other
0713.39.10,guar seeds
0713.39.90,other
0713.40.00,lentils
0713.50,00
07136000,Pigeon peas (Cajanus cajan)
0713.90,Other
0713.90.10,Split
0713.90.90,Other
0714.10.00,Manioc (cassava)
0714.20.00,Sweet potatoes
07143000,Yams(Dioscorea spp.)
07144000,Taro(Colocasia spp.)
07145000,Yautia(Xanthosoma spp.)
0714.90,Other
0714.90.10,Sago pith
0714.90.90,Other
0801.11.00,Desiccated
0801.12,in the inner sheell (endocarp):
0801.12.10,Fresh
0801.12.20,Dried
0801.12.90,Other
080119,Other:
08011910,Fresh
08011920,Dried
0801.1990,Other
0801.2100,In shell
0801.22.00,Shelled
0801.3100,in shell
0801.32,Shelled
0801.32.10,"cashew kernel, broken"
0801.32.20,"cashew kernel, whole"
0801.32.90,Other
0802,"Other nuts, fresh or dried, whether or not shelled or peeled."
0802.1100,in shell
0802.12.00,Shelled
0802.2100,In Shell
0802.22.00,Shelled
0802.3100,in shell
0802.3200,Shelled
0802.41.00,In shell
0802.4200,Shelled
08025100,In shell
08025200,Shelled
0802.6100,In shell
08026200,Shelled
0802.7000,Kola nuts (Cola spp.)
0802.80,Areca nuts:
08028010,Whole
08028020,Split
08028030,Ground
08028090,Other
0802.9000,Other
0803,"Bananas, including plantains, fresh or dried."
080310,Plantsains:
08031010,Curry plantain
08031090,Other
080390,Other:
08039010,"Bananas,fresh"
08039090,Other
0804.10,Dates
0804.10.10,Fresh
0804.10.20,Soft
0804.10.30,Hard
0804.10.90,Other
0804.20,Figs
0804.20.10,Fresh
0804.20.90,Other
0804.30,Pineapples
0804.30.00,Pineapples
0804.40,Avocados
0804.40.00,Avocados
0804.50,"Guavas, mangoes and mangosteens"
0804.50.10,"Guavas, fresh or dried"
0804.50.20,"Mangoes, fresh"
0804.50.30,"Mangoes, sliced dried"
0804.50.40,Mango pulp
0804.50.90,other
0805,"Citrus fruit, fresh or dried."
0805.10,Oranges
0805.10.00,Oranges
08052100,Mandarins (including tangerines and satsumas)
08052200,Clementines
08052900,Other
0805.40,"Grapefruit, including pomelos"
0805.40.00,"Grape fruit,including pomelos"
0805.90,Other
0805.90.00,Other
0806,"Grapes, fresh or dried."
0806.10,fresh
0806.10.00,Fresh
0806.20,dried
0806.20.10,Raisins
0806.20.90,Other
0807,"Melons (including watermelons) and papaws (papayas), fresh."
0807.11,Watermelons
0807.11.00,Water melons
0807.19,Other
0807.19.00,Other
0807.20,Papaws (papayas)
0807.20.00,Papaws
0808,"Apples, pears and quinces, fresh."
0808.10.00,Apples
0808.30.00,Pears
0808.40.00,Quinces
0809.10.00,Apricots
0809.21.00,Sour cherries (Prunus cerasus)
0809.2900,Other
0809.30.00,"Peaches, including nectarine"
0809.40.00,Plums and sloes
0810,"Other fruit, fresh."
0810.10.00,Strawberries
0810.20.00,"Raspberries, blackberries, mulberries and loganberries"
0810.3000,"Black, white or red currants and gooseberries"
0810.40.00,"Cranberries, bilberries and other fruits of the genus vaccinium"
0810.50.00,Kiwi fruit
