product_id,product_name,category,hsn_code,gst_rate,description,keywords,data_type
DEMO079,Pasta,Food,1902,5,Pasta preparation,"pasta, food",DEMO_MASTER
DEMO080,Noodles,Food,1902,5,Noodles/pasta preparation,"noodles, food",DEMO_MASTER
DEMO081,Tomato Ketchup,Food,2103,12,Sauce/ketchup,"tomatoketchup, tomato ketchup, food",DEMO_MASTER
DEMO082,Mixed Pickle,Food,2001,12,Prepared/preserved vegetable product,"mixed pickle, mixedpickle, food",DEMO_MASTER
DEMO083,Fruit Juice,Food,2009,12,Fruit/vegetable juice,"fruitjuice, fruit juice, food",DEMO_MASTER
DEMO084,Mineral Water,Food,2201,18,Packaged water; exact treatment depends on product conditions,"mineralwater, mineral water, food",DEMO_MASTER
DEMO085,Packaged Milk,Food,0401,0,Milk; UHT and packaged/labelled conditions can affect treatment,"packagedmilk, food, packaged milk",DEMO_MASTER
DEMO086,Toothpaste,Personal Care,3306,18,Dental hygiene preparation,"personal care, toothpaste",DEMO_MASTER
DEMO087,Shampoo,Personal Care,3305,18,Hair-care preparation,"shampoo, personal care",DEMO_MASTER
DEMO088,Face Cream,Personal Care,3304,18,Skin-care preparation,"personal care, facecream, face cream",DEMO_MASTER
DEMO089,Sunscreen,Personal Care,3304,18,Skin-care preparation,"personal care, sunscreen",DEMO_MASTER
DEMO090,Perfume,Personal Care,3303,18,Perfume/toilet water,"personal care, perfume",DEMO_MASTER
DEMO091,Deodorant,Personal Care,3307,18,Personal deodorant/toilet preparation,"personal care, deodorant",DEMO_MASTER
DEMO092,Soap Bar,Personal Care,3401,18,Soap in bar/cake/form,"personal care, soapbar, soap bar",DEMO_MASTER
DEMO093,Toothbrush,Personal Care,9603,18,Toothbrush,"personal care, toothbrush",DEMO_MASTER
DEMO094,Hair Comb,Personal Care,9615,18,Comb/hair accessory,"personal care, haircomb, hair comb",DEMO_MASTER
DEMO095,Nail Polish,Personal Care,3304,28,Nail polish,"nailpolish, personal care, nail polish",DEMO_MASTER
DEMO096,Notebook,Stationery,4820,12,Paper notebook,"stationery, notebook",DEMO_MASTER
DEMO097,Register,Stationery,4820,12,Paper register,"register, stationery",DEMO_MASTER
DEMO098,Printed Book,Books,4901,0,Printed book,"printedbook, books, printed book",DEMO_MASTER
DEMO099,Newspaper,Books,4902,0,Newspaper,"books, newspaper",DEMO_MASTER
DEMO100,Ball Pen,Stationery,9608,18,Ball-point pen,"stationery, ball pen, ballpen",DEMO_MASTER
